"Customweb_UnzerCw::!label (Live)","!label (Live)"
"Customweb_UnzerCw::!label (Test)","!label (Test)"
"Customweb_UnzerCw::* Required Fields","* Required Fields"
"Customweb_UnzerCw::-- No Status Change --","-- No Status Change --"
"Customweb_UnzerCw::3D Secure","3D Secure"
"Customweb_UnzerCw::3D Secure Authentication","3D Secure Authentication"
"Customweb_UnzerCw::3D Secure failed","3D Secure verification failed"
"Customweb_UnzerCw::3D Secure sucess","3D Secure successfull"
"Customweb_UnzerCw::<p>By signing this mandate form, you authorise @merchantName to send instructions to your bank to debit your account and your bank to debit your account in accordance with the instructions from @merchantName.</p><p>Note: As part of your rights, you are entitled to a refund from your bank under the terms and conditions of your agreement with your bank. A refund must be claimed within 8 weeks starting from the date on which your account was debited. Your rights regarding this SEPA mandate are explained in a statement that you can obtain from your bank.</p><p>In case of refusal or rejection of direct debit payment I instruct my bank irrevocably to inform @merchantName or any third party upon request about my name, address and date of birth.</p>","<p>By signing this mandate form, you authorise @merchantName to send instructions to your bank to debit your account and your bank to debit your account in accordance with the instructions from @merchantName.</p><p>Note: As part of your rights, you are entitled to a refund from your bank under the terms and conditions of your agreement with your bank. A refund must be claimed within 8 weeks starting from the date on which your account was debited. Your rights regarding this SEPA mandate are explained in a statement that you can obtain from your bank.</p><p>In case of refusal or rejection of direct debit payment I instruct my bank irrevocably to inform @merchantName or any third party upon request about my name, address and date of birth.</p>"
"Customweb_UnzerCw::@prepend: @error","@prepend: @error"
"Customweb_UnzerCw::A authorized transaction cannot be authorized again.","An authorised transaction cannot be authorised again."
"Customweb_UnzerCw::A authorized transaction cannot be marked as failed.","An authorised transaction cannot be marked as failed."
"Customweb_UnzerCw::A cancelled transaction cannot be authorized.","A cancelled transaction cannot be authorised."
"Customweb_UnzerCw::A cancelled transaction cannot be cancelled again.","A cancelled transaction cannot be cancelled again."
"Customweb_UnzerCw::A cancelled transaction cannot be captured.","A cancelled transaction cannot be captured"
"Customweb_UnzerCw::A cancelled transaction cannot be marked as failed.","A cancelled transaction cannot be marked as failed."
"Customweb_UnzerCw::A cancelled transaction cannot be refunded.","A cancelled transaction cannot be refunded"
"Customweb_UnzerCw::A captured transaction cannot be authorized.","A captured transaction cannot be authorised."
"Customweb_UnzerCw::A captured transaction cannot be cancelled.","A captured transaction cannot be cancelled."
"Customweb_UnzerCw::A captured transaction cannot be marked as failed.","A captured transaction cannot be marked as failed."
"Customweb_UnzerCw::A chargeback with id @id has been received for @amount. Please review this transaction manually.","A chargeback with id @id has been received for @amount. Please review this transaction manually."
"Customweb_UnzerCw::A failed authorization cannot be authorized.","A failed authorisation cannot be authorised."
"Customweb_UnzerCw::A payment method may not available for customers from different counties. You can decide when this availability check should happen. We recommend to set it during authorization","Some payment methods are not be available for customers from certain counties. You can decide at what instant this availability check should happen. We recommend setting it to 'during authorisation'."
"Customweb_UnzerCw::A refund was added over !amount.","A refund was added over !amount."
"Customweb_UnzerCw::A transaction may be uncertain, when the payment is not guaranteed. For example in case the credit card does not participate in the 3D procedure.","A transaction may be uncertain, when the payment is not guaranteed. For example in the case that the credit card does not participate in the 3D Secure procedure."
"Customweb_UnzerCw::About","About"
"Customweb_UnzerCw::Account Holder Name","Account holder"
"Customweb_UnzerCw::Account owner name.","Account holder"
"Customweb_UnzerCw::Action","Action"
"Customweb_UnzerCw::Actions","Actions"
"Customweb_UnzerCw::Activate","Active"
"Customweb_UnzerCw::Activate the payment methods you would like to offer.","Activate the payment methods you would like to offer."
"Customweb_UnzerCw::Active","Active"
"Customweb_UnzerCw::Additional Information","Additional Information"
"Customweb_UnzerCw::Adjust Qty","Adjust Quantity"
"Customweb_UnzerCw::Adjustment Discount","Adjustment Discount"
"Customweb_UnzerCw::Adjustment Fee","Adjustment Fee"
