"Customweb_UnzerCw::!label (Live)","!label (Live)"
"Customweb_UnzerCw::!label (Test)","!label (Test)"
"Customweb_UnzerCw::* Required Fields","* Required Fields"
"Customweb_UnzerCw::-- No Status Change --","-- No Status Change --"
"Customweb_UnzerCw::3D Secure","3D Secure con éxito"
"Customweb_UnzerCw::3D Secure Authentication","3D Secure Authentication"
"Customweb_UnzerCw::3D Secure failed","3D Secure fallado"
"Customweb_UnzerCw::3D Secure sucess","3D Secure con éxito"
"Customweb_UnzerCw::<p>By signing this mandate form, you authorise @merchantName to send instructions to your bank to debit your account and your bank to debit your account in accordance with the instructions from @merchantName.</p><p>Note: As part of your rights, you are entitled to a refund from your bank under the terms and conditions of your agreement with your bank. A refund must be claimed within 8 weeks starting from the date on which your account was debited. Your rights regarding this SEPA mandate are explained in a statement that you can obtain from your bank.</p><p>In case of refusal or rejection of direct debit payment I instruct my bank irrevocably to inform @merchantName or any third party upon request about my name, address and date of birth.</p>","<p>By signing this mandate form, you authorise @merchantName to send instructions to your bank to debit your account and your bank to debit your account in accordance with the instructions from @merchantName.</p><p>Note: As part of your rights, you are entitled to a refund from your bank under the terms and conditions of your agreement with your bank. A refund must be claimed within 8 weeks starting from the date on which your account was debited. Your rights regarding this SEPA mandate are explained in a statement that you can obtain from your bank.</p><p>In case of refusal or rejection of direct debit payment I instruct my bank irrevocably to inform @merchantName or any third party upon request about my name, address and date of birth.</p>"
"Customweb_UnzerCw::<p>By signing this mandate form, you authorise @merchantName to send instructions to your bank to debit your account and your bank to debit your account in accordance with the instructions from @merchantName.</p><p>Note: As part of your rights, you are entitled to a refund from your bank under the terms and conditions of your agreement with your bank. A refund must be claimed within 8 weeks starting from the date on which your account was debited. Your rights regarding this SEPA mandate are explained in a statement that you can obtain from your bank.</p>p>In case of refusal or rejection of direct debit payment I instruct my bank irrevocably to inform @merchantName or any third party upon request about my name, address and date of birth.</p>","<p>By signing this mandate form, you authorise @merchantName to send instructions to your bank to debit your account and your bank to debit your account in accordance with the instructions from @merchantName.</p><p>Note: As part of your rights, you are entitled to a refund from your bank under the terms and conditions of your agreement with your bank. A refund must be claimed within 8 weeks starting from the date on which your account was debited. Your rights regarding this SEPA mandate are explained in a statement that you can obtain from your bank.</p>p>In case of refusal or rejection of direct debit payment I instruct my bank irrevocably to inform @merchantName or any third party upon request about my name, address and date of birth.</p>"
"Customweb_UnzerCw::@prepend: @error","@prepend: @error"
"Customweb_UnzerCw::A authorized transaction cannot be authorized again.","Una transacción autorisada no puede ser autorisada otra vez"
"Customweb_UnzerCw::A authorized transaction cannot be marked as failed.","Una transacción autorizada no puede ser marcado como fallada"
"Customweb_UnzerCw::A cancelled transaction cannot be authorized.","Una transacción cancelada no puede ser autorizada"
"Customweb_UnzerCw::A cancelled transaction cannot be cancelled again.","Una transacción cancelada no puede ser cancelada otra vez"
"Customweb_UnzerCw::A cancelled transaction cannot be captured.","Una transacción cancelada no puede ser contabilizada"
"Customweb_UnzerCw::A cancelled transaction cannot be marked as failed.","Una transacción cancelada no puede ser marcado como fallada"
"Customweb_UnzerCw::A cancelled transaction cannot be refunded.","Una transacción cancelada no puede ser reembolsada"
"Customweb_UnzerCw::A captured transaction cannot be authorized.","Una transacción contabilizada no puede ser autorizada"
"Customweb_UnzerCw::A captured transaction cannot be cancelled.","Una transacción contabilizada no puede ser cancelada"
"Customweb_UnzerCw::A captured transaction cannot be marked as failed.","Una transacción contabilizada no puede ser marcado como fallada"
"Customweb_UnzerCw::A chargeback with id @id has been received for @amount. Please review this transaction manually.","A chargeback with id @id has been received for @amount. Please review this transaction manually."
"Customweb_UnzerCw::A failed authorization cannot be authorized.","Una autorización fallada no puede ser autorizada"
