"Customweb_UnzerCw::!label (Live)","!label (Live)"
"Customweb_UnzerCw::!label (Test)","!label (Test)"
"Customweb_UnzerCw::* Required Fields","* Champs requis"
"Customweb_UnzerCw::-- No Status Change --","-- Pas de changement de statut --"
"Customweb_UnzerCw::3D Secure","3D Secure"
"Customweb_UnzerCw::3D Secure Authentication","Authentification 3D Secure"
"Customweb_UnzerCw::3D Secure failed","3D Secure a échoué."
"Customweb_UnzerCw::3D Secure sucess","3D Secure avec succès"
"Customweb_UnzerCw::<p>By signing this mandate form, you authorise @merchantName to send instructions to your bank to debit your account and your bank to debit your account in accordance with the instructions from @merchantName.</p><p>Note: As part of your rights, you are entitled to a refund from your bank under the terms and conditions of your agreement with your bank. A refund must be claimed within 8 weeks starting from the date on which your account was debited. Your rights regarding this SEPA mandate are explained in a statement that you can obtain from your bank.</p><p>In case of refusal or rejection of direct debit payment I instruct my bank irrevocably to inform @merchantName or any third party upon request about my name, address and date of birth.</p>","<p>By signing this mandate form, you authorise @merchantName to send instructions to your bank to debit your account and your bank to debit your account in accordance with the instructions from @merchantName.</p><p>Note: As part of your rights, you are entitled to a refund from your bank under the terms and conditions of your agreement with your bank. A refund must be claimed within 8 weeks starting from the date on which your account was debited. Your rights regarding this SEPA mandate are explained in a statement that you can obtain from your bank.</p><p>In case of refusal or rejection of direct debit payment I instruct my bank irrevocably to inform @merchantName or any third party upon request about my name, address and date of birth.</p>"
"Customweb_UnzerCw::<p>By signing this mandate form, you authorise @merchantName to send instructions to your bank to debit your account and your bank to debit your account in accordance with the instructions from @merchantName.</p><p>Note: As part of your rights, you are entitled to a refund from your bank under the terms and conditions of your agreement with your bank. A refund must be claimed within 8 weeks starting from the date on which your account was debited. Your rights regarding this SEPA mandate are explained in a statement that you can obtain from your bank.</p>p>In case of refusal or rejection of direct debit payment I instruct my bank irrevocably to inform @merchantName or any third party upon request about my name, address and date of birth.</p>","<p>By signing this mandate form, you authorise @merchantName to send instructions to your bank to debit your account and your bank to debit your account in accordance with the instructions from @merchantName.</p><p>Note: As part of your rights, you are entitled to a refund from your bank under the terms and conditions of your agreement with your bank. A refund must be claimed within 8 weeks starting from the date on which your account was debited. Your rights regarding this SEPA mandate are explained in a statement that you can obtain from your bank.</p>p>In case of refusal or rejection of direct debit payment I instruct my bank irrevocably to inform @merchantName or any third party upon request about my name, address and date of birth.</p>"
"Customweb_UnzerCw::@prepend: @error","@prepend: @error"
"Customweb_UnzerCw::A authorized transaction cannot be authorized again.","Une transaction autorisée ne peut pas être autorisée à nouveau."
"Customweb_UnzerCw::A authorized transaction cannot be marked as failed.","Une transaction autorisée ne peut pas être marquée comme échouée"
"Customweb_UnzerCw::A cancelled transaction cannot be authorized.","Une transaction annulée ne peut pas être autorisée."
"Customweb_UnzerCw::A cancelled transaction cannot be cancelled again.","Une transaction annulée ne peut pas être annulée à nouveau."
"Customweb_UnzerCw::A cancelled transaction cannot be captured.","Une transaction annulée ne peut pas être comptabilisée"
"Customweb_UnzerCw::A cancelled transaction cannot be marked as failed.","Une transaction annulée ne peut pas être marquée comme échouée."
"Customweb_UnzerCw::A cancelled transaction cannot be refunded.","Une autorisation annulée ne peut pas être remboursée."
"Customweb_UnzerCw::A captured transaction cannot be authorized.","Une transaction comptabilisée ne peut pas être autorisée."
"Customweb_UnzerCw::A captured transaction cannot be cancelled.","Une transaction comptabilisée ne peut pas être annulée."
"Customweb_UnzerCw::A captured transaction cannot be marked as failed.","Une transaction comptabilisée ne peut pas être marquée comme échouée"
"Customweb_UnzerCw::A chargeback with id @id has been received for @amount. Please review this transaction manually.","A chargeback with id @id has been received for @amount. Please review this transaction manually."
"Customweb_UnzerCw::A failed authorization cannot be authorized.","Une transaction échouée ne peut pas être autorisée."
"Customweb_UnzerCw::A payment method may not available for customers from different counties. You can decide when this availability check should happen. We recommend to set it during authorization","Certains modes de paiement ne sont pas disponible pour des pays spécifiques. Définissez l'instant dans lequel vous voulez que le contrôle de disponibilité soit fait. Nous recommendons séléctionner 'Pendant l'autorisation'."
"Customweb_UnzerCw::A refund was added over !amount.","Un remboursement de !amount a été ajouté."
"Customweb_UnzerCw::A transaction may be uncertain, when the payment is not guaranteed. For example in case the credit card does not participate in the 3D procedure.","Une transaction peut être incertaine si le paiement n'est pas garanti. Par example, si la carte de crédit ne fait pas partie du processus 3D secure."
"Customweb_UnzerCw::About","À propos de nous"
"Customweb_UnzerCw::Account Holder Name","Nom du titulaire du compte"
"Customweb_UnzerCw::Account owner name.","Nom du titulaire du compte"
"Customweb_UnzerCw::Action","Action"
"Customweb_UnzerCw::Actions","Actions"
"Customweb_UnzerCw::Activate","Activé"
"Customweb_UnzerCw::Activate the payment methods you would like to offer.","Activate the payment methods you would like to offer."
"Customweb_UnzerCw::Active","Active"
"Customweb_UnzerCw::Additional Information","Informations complémentaires"
"Customweb_UnzerCw::Adjust Qty","Ajuster la quantité"
"Customweb_UnzerCw::Adjustment Discount","Ajustement des rabais"
"Customweb_UnzerCw::Adjustment Fee","Frais d'ajustement"
"Customweb_UnzerCw::After payment selection","Après la sélection du mode de paiement"
"Customweb_UnzerCw::Ajax authorization not supported.","Autorisation Ajax pas possible."
"Customweb_UnzerCw::Alias","Alias"
"Customweb_UnzerCw::Alias For Display","Alias pour l'affichage"
"Customweb_UnzerCw::All Customers","Tous les clients"
"Customweb_UnzerCw::Allowed Currencies","Devises autorisés"
"Customweb_UnzerCw::Allowed currencies for this payment method","Devises autorisées pour cette méthode de paiement"
"Customweb_UnzerCw::Already registered?","Déjà inscrit?"
"Customweb_UnzerCw::Always Checkout as Guest","Toujours commander en tant qu'invité"
"Customweb_UnzerCw::American Express","American Express"
"Customweb_UnzerCw::Amount","Montant"
"Customweb_UnzerCw::Amount Incl. Tax","Montant Incl. Impôt"
"Customweb_UnzerCw::An unknown error occurred.","An unknown error occurred."
"Customweb_UnzerCw::An unkown error occurred.","An unkown error occurred."
"Customweb_UnzerCw::An unkown exception occurred: @message.","An unkown exception occurred: @message."
"Customweb_UnzerCw::Applied Interest Rate","Applied Interest Rate"
"Customweb_UnzerCw::Are you sure you want to cancel this order?","Êtes-vous sûr d'annuler cette commande?"
"Customweb_UnzerCw::Author","Auteur"
"Customweb_UnzerCw::Authorization Amount","Montant de l'autorisation"
"Customweb_UnzerCw::Authorization Failed","Autorisation a échouée"
"Customweb_UnzerCw::Authorization Method","Mode d'autorisation"
"Customweb_UnzerCw::Authorization is uncertain.","Autorisation est incertaine"
"Customweb_UnzerCw::Authorize","Authorize"
"Customweb_UnzerCw::Authorized Status","Statut autorisé"
"Customweb_UnzerCw::Await Notification","Attendre la notification"
"Customweb_UnzerCw::Awaiting confirmation","En attente de confirmation"
"Customweb_UnzerCw::BIC","BIC"
"Customweb_UnzerCw::Bad signature format.","Format de signature incorrect"
"Customweb_UnzerCw::Bank Location","Lieu de la banque"
"Customweb_UnzerCw::Bank Name","Nom de la banque"
"Customweb_UnzerCw::Bank account number","Número du compte bancaire"
"Customweb_UnzerCw::Bank code number","Numéro de code banquaire"
"Customweb_UnzerCw::Before payment selection","Avant la sélection du mode de paiement"
"Customweb_UnzerCw::Billing Address","Adresse de facturation"
"Customweb_UnzerCw::Billing Information","Information de facturation"
"Customweb_UnzerCw::Billing address","Billing address"
"Customweb_UnzerCw::Brand Name","Nom de marque"
"Customweb_UnzerCw::By setting the capturing the reservation can be captured directly after the order or later manually over the backend of the store.","En configurant la capture, les réservations peuvent être capturés directement après la commande ou plus tard manuellement depuis le backend du magasin."
"Customweb_UnzerCw::CVC","CVC"
"Customweb_UnzerCw::CVC Code","Code de sécurité (CVC)"
"Customweb_UnzerCw::Cancel","Annuler"
"Customweb_UnzerCw::Cancel ID","Cancel ID"
"Customweb_UnzerCw::Cancel pending orders when out of stock","Annuler les commandes en attentes si l'article n'est pas en stock"
"Customweb_UnzerCw::Cancel status","Statut d'annulation"
"Customweb_UnzerCw::Canceled UnzerCw","UnzerCw Annulé"
"Customweb_UnzerCw::Canceling of this payment not possible!","L'annulation de ce paiement n'est pas possible!"
"Customweb_UnzerCw::Cancelled @amount using id @id.","Cancelled @amount using id @id."
"Customweb_UnzerCw::Cancelled Status","Statut Annulé"
"Customweb_UnzerCw::Cancelling @amount for charge with id @id.","Cancelling @amount for charge with id @id."
"Customweb_UnzerCw::Cannot update item quantity.","Vous ne pouvez pas mettre à jour la quantité de l'article."
"Customweb_UnzerCw::Capture Amount","Montant de comptabilisation"
"Customweb_UnzerCw::Capture ID","ID de comptabilisation"
"Customweb_UnzerCw::Capture amount","Montant comptabilisé"
"Customweb_UnzerCw::Capture information","Information de comptabilisation"
"Customweb_UnzerCw::Capture status","Statut de combtabilisation"
"Customweb_UnzerCw::Capture: Don't Close","Comptabilisation: Ne pas fermer"
