"Customweb_UnzerCw::!label (Live)","!label (Live)"
"Customweb_UnzerCw::!label (Test)","!label (Test)"
"Customweb_UnzerCw::* Required Fields","* campo obbligatorio"
"Customweb_UnzerCw::-- No Status Change --","-- Nessun cambiamento di stato --"
"Customweb_UnzerCw::3D Secure","3D Secure"
"Customweb_UnzerCw::3D Secure Authentication","3D Secure Authentication"
"Customweb_UnzerCw::3D Secure failed","3D Secure fallito"
"Customweb_UnzerCw::3D Secure sucess","La verifica 3D Secure é andata a buon fine"
"Customweb_UnzerCw::<p>By signing this mandate form, you authorise @merchantName to send instructions to your bank to debit your account and your bank to debit your account in accordance with the instructions from @merchantName.</p><p>Note: As part of your rights, you are entitled to a refund from your bank under the terms and conditions of your agreement with your bank. A refund must be claimed within 8 weeks starting from the date on which your account was debited. Your rights regarding this SEPA mandate are explained in a statement that you can obtain from your bank.</p><p>In case of refusal or rejection of direct debit payment I instruct my bank irrevocably to inform @merchantName or any third party upon request about my name, address and date of birth.</p>","<p>By signing this mandate form, you authorise @merchantName to send instructions to your bank to debit your account and your bank to debit your account in accordance with the instructions from @merchantName.</p><p>Note: As part of your rights, you are entitled to a refund from your bank under the terms and conditions of your agreement with your bank. A refund must be claimed within 8 weeks starting from the date on which your account was debited. Your rights regarding this SEPA mandate are explained in a statement that you can obtain from your bank.</p><p>In case of refusal or rejection of direct debit payment I instruct my bank irrevocably to inform @merchantName or any third party upon request about my name, address and date of birth.</p>"
"Customweb_UnzerCw::<p>By signing this mandate form, you authorise @merchantName to send instructions to your bank to debit your account and your bank to debit your account in accordance with the instructions from @merchantName.</p><p>Note: As part of your rights, you are entitled to a refund from your bank under the terms and conditions of your agreement with your bank. A refund must be claimed within 8 weeks starting from the date on which your account was debited. Your rights regarding this SEPA mandate are explained in a statement that you can obtain from your bank.</p>p>In case of refusal or rejection of direct debit payment I instruct my bank irrevocably to inform @merchantName or any third party upon request about my name, address and date of birth.</p>","<p>By signing this mandate form, you authorise @merchantName to send instructions to your bank to debit your account and your bank to debit your account in accordance with the instructions from @merchantName.</p><p>Note: As part of your rights, you are entitled to a refund from your bank under the terms and conditions of your agreement with your bank. A refund must be claimed within 8 weeks starting from the date on which your account was debited. Your rights regarding this SEPA mandate are explained in a statement that you can obtain from your bank.</p>p>In case of refusal or rejection of direct debit payment I instruct my bank irrevocably to inform @merchantName or any third party upon request about my name, address and date of birth.</p>"
"Customweb_UnzerCw::@prepend: @error","@prepend: @error"
"Customweb_UnzerCw::A authorized transaction cannot be authorized again.","Una transazione autorizzata non può essere autorizzata di nuovo."
"Customweb_UnzerCw::A authorized transaction cannot be marked as failed.","Una transazione autorizzata non può essere contrassegnata come non riuscita."
"Customweb_UnzerCw::A cancelled transaction cannot be authorized.","Una transazione annullata non può essere autorizzata."
"Customweb_UnzerCw::A cancelled transaction cannot be cancelled again.","Una transazione cancellata non può essere cancellata nuovamente."
"Customweb_UnzerCw::A cancelled transaction cannot be captured.","Una transazione annullata non può essere registrata."
"Customweb_UnzerCw::A cancelled transaction cannot be marked as failed.","Una transazione annullata non può essere contrassegnato come fallita."
"Customweb_UnzerCw::A cancelled transaction cannot be refunded.","Una transazione cancellata non può essere rimborsata."
"Customweb_UnzerCw::A captured transaction cannot be authorized.","Una transazione registrata non può essere autorizzata."
"Customweb_UnzerCw::A captured transaction cannot be cancelled.","Una transazione registrata non può essere annullata."
"Customweb_UnzerCw::A captured transaction cannot be marked as failed.","Una transazione registrata non può essere contrassegnata come non riuscita."
"Customweb_UnzerCw::A chargeback with id @id has been received for @amount. Please review this transaction manually.","A chargeback with id @id has been received for @amount. Please review this transaction manually."
"Customweb_UnzerCw::A failed authorization cannot be authorized.","Una autorizzazione fallita non può essere autorizzata."
"Customweb_UnzerCw::A payment method may not available for customers from different counties. You can decide when this availability check should happen. We recommend to set it during authorization","Alcuni metodi di pagamento non sono disponibili in alcuni paesi. E` possibile definire il momento in cui il controllo della disponibilità deve essere eseguito. Si consiglia di mettere su 'Durante l'autorizzazione'."
"Customweb_UnzerCw::A refund was added over !amount.","Un rimborso é stato aggiunto a !amount."
"Customweb_UnzerCw::A transaction may be uncertain, when the payment is not guaranteed. For example in case the credit card does not participate in the 3D procedure.","Una transazione può essere incerta, quando il pagamento non é garantito. Per esempio nel caso la carta di credito non partecipa alla procedura 3D."
"Customweb_UnzerCw::About","A proposito di"
"Customweb_UnzerCw::Account Holder Name","Intestatario del conto"
"Customweb_UnzerCw::Account owner name.","Intestatario del conto"
"Customweb_UnzerCw::Action","Azione"
"Customweb_UnzerCw::Actions","Azioni"
"Customweb_UnzerCw::Activate","Activate"
"Customweb_UnzerCw::Activate the payment methods you would like to offer.","Activate the payment methods you would like to offer."
"Customweb_UnzerCw::Active","Active"
"Customweb_UnzerCw::Additional Information","Ulteriori informazioni"
"Customweb_UnzerCw::Adjust Qty","Regolare la quantità"
"Customweb_UnzerCw::Adjustment Discount","Regolazione del discount"
"Customweb_UnzerCw::Adjustment Fee","Costi di adeguamento"
"Customweb_UnzerCw::After payment selection","Dopo la scelta del pagamento"
"Customweb_UnzerCw::Ajax authorization not supported.","Autorizzazione Ajax non supportata."
"Customweb_UnzerCw::Alias","Alias"
"Customweb_UnzerCw::Alias For Display","Alias da visualizzare"
"Customweb_UnzerCw::All Customers","Tutti i clienti"
"Customweb_UnzerCw::Allowed Currencies","Valute accettate"
"Customweb_UnzerCw::Allowed currencies for this payment method","Valute ammesse per questo metodo di pagamento"
